ID,Nombre,Buscar_en_Google,Rubro,Zona,Ciudad
307,PASIÓN CRIOLLA – HOTEL PANAMERICAN,"PASIÓN CRIOLLA – HOTEL PANAMERICAN, El Prado, Edif. 16 de Julio, Hotel Panamerican, Centro, La Paz, Bolivia",Restaurante con Catering,Centro,La Paz
308,COCINARTE CATERING & EVENTOS,"COCINARTE CATERING & EVENTOS, La Paz, La Paz, Bolivia",Catering Corporativo y Social,La Paz,La Paz
309,FRITOS LUCANA & PAPLUC,"FRITOS LUCANA & PAPLUC, Planta en La Paz, La Paz, Bolivia",Fábrica de Snacks / Papas Fritas,La Paz,La Paz
310,GENERAL SNACKS SRL,"GENERAL SNACKS SRL, Calle Ecuador N° 19, Zona Llontop, El Alto, Bolivia",Fábrica de Snacks,El Alto,El Alto
311,EMAPA – PLANTA PAPA EL ALTO (PAPAX CHIPS / RAPIDITAS),"EMAPA – PLANTA PAPA EL ALTO (PAPAX CHIPS / RAPIDITAS), Distrito 14, El Alto (puntos Súper EMAPA: Villa Tunari, Mcdo. Campesino, ex Tranca Río Seco), El Alto, Bolivia",Planta Estatal – Papas Chips y Prefritas,El Alto,El Alto
312,INDUSTRIAS KRAL SRL (KRAL / BRIXY),"INDUSTRIAS KRAL SRL (KRAL / BRIXY), Km 38 Carretera al Norte, Santa Cruz (distribución La Paz vía distribuidores), Santa Cruz, Bolivia",Fábrica de Salsas y Aderezos,Santa Cruz,Santa Cruz
313,PANIFICADORA SAN GABRIEL,"PANIFICADORA SAN GABRIEL, Planta: Av. Jaime Mendoza N° 1574, Charapaqui, El Alto, Bolivia",Panificadora Industrial,El Alto,El Alto
314,PASTELERÍA LA VICTORIA'S,"PASTELERÍA LA VICTORIA'S, Av. Arica N° 200, Zona Bolívar, El Alto, Bolivia",Pastelería-Panadería Industrial (varias suc.),El Alto,El Alto
315,ALIMENTOS PROCESADOS SANTIAGO SRL,"ALIMENTOS PROCESADOS SANTIAGO SRL, Av. Jaime Mendoza N° 1574, Charapaqui 1, El Alto, Bolivia",Panificadora Industrial,El Alto,El Alto
316,PAN CRIS SRL,"PAN CRIS SRL, Calle 103 N° 50, Villa Bolívar D, El Alto, Bolivia",Panificadora Industrial,El Alto,El Alto
317,POLLOS GUADALUPE – EL ALTO,"POLLOS GUADALUPE – EL ALTO, Terminal Metropolitana, Río Seco, El Alto, Bolivia",Broastería Grande,El Alto,El Alto
318,POLLOS PACHASS – EL ALTO,"POLLOS PACHASS – EL ALTO, El Alto, El Alto, Bolivia",Broastería,El Alto,El Alto
319,EMBUTIDOS LA ESPAÑOLA,"EMBUTIDOS LA ESPAÑOLA, Calle Goyzueta N° 572, La Paz, Bolivia",Fábrica de Embutidos,La Paz,La Paz
320,FRIDOSA – OFICINA LA PAZ,"FRIDOSA – OFICINA LA PAZ, Oficina LP: c. Landaeta N° 558 esq. Crespo, San Pedro, La Paz, Bolivia",Cárnicos / Hamburguesas / Food Service,San Pedro,La Paz
321,ADEREZO BOLIVIANO,"ADEREZO BOLIVIANO, Calle Lucas Jaimes N° 2022, Miraflores, La Paz, Bolivia",Mayorista de Especias y Condimentos,Miraflores,La Paz
322,CONDIBOL – CONDIMENTOS Y ESPECIAS,"CONDIBOL – CONDIMENTOS Y ESPECIAS, La Paz, La Paz, Bolivia",Comercio de Condimentos,La Paz,La Paz
323,IMPORTADORA RAMCES JY,"IMPORTADORA RAMCES JY, El Alto – La Paz, El Alto, Bolivia","Importadora de Especias (Canela, Clavo, Comino)",El Alto,El Alto
324,MAPRIAL SRL,"MAPRIAL SRL, Av. Perú N° 233, La Paz, Bolivia",Insumos para Industria Alimenticia,La Paz,La Paz
325,QUINTA SALUDABLE,"QUINTA SALUDABLE, La Paz, La Paz, Bolivia",Tienda de Especias y Hierbas con Delivery,La Paz,La Paz
326,HELADERÍAS BROSSO,"HELADERÍAS BROSSO, Central: Av. 16 de Julio N° 1473, El Prado (suc. Zona Sur: Av. Montenegro N° 1295), Centro / San Miguel, La Paz, Bolivia",Heladería – Cadena con Producción Propia,Centro / San Miguel,La Paz
327,FÁBRICA DE HELADOS FRIGO,"FÁBRICA DE HELADOS FRIGO, Av. Saavedra N° 1639, Miraflores, La Paz, Bolivia",Fábrica de Helados,Miraflores,La Paz
328,HELADERÍA SPLENDID SRL,"HELADERÍA SPLENDID SRL, Calle Nicolás Acosta N° 420, San Pedro, La Paz, Bolivia",Fábrica de Helados,San Pedro,La Paz
329,MANJAR DE ORO,"MANJAR DE ORO, Av. Montenegro N° 1140, San Miguel, La Paz, Bolivia",Heladería y Postres,San Miguel,La Paz
330,PA&PA – PROCESADORA ANDINA DE PAPA SRL,"PA&PA – PROCESADORA ANDINA DE PAPA SRL, Calle Hernán Cosío N° 111, Cochabamba (distribución La Paz), Cochabamba, Bolivia",Papas Prefritas Ultracongeladas,Cochabamba,Cochabamba
331,WISTUPIKU – EMPANADAS (6 PUNTOS LP/EA),"WISTUPIKU – EMPANADAS (6 PUNTOS LP/EA), Suc: Av. Saavedra 2202, Comercio 1057, Av. 20 de Octubre 2463, San Miguel c.21 N° 8475, Aeropuerto, Av. Satélite 724 El Alto, Miraflores / Centro / San Miguel / El Alto, La Paz, Bolivia",Empanadas y Masas – Cadena,Miraflores / Centro / San Miguel / El Alto,La Paz
332,PUNTO VERDE (NATURAL SRL),"PUNTO VERDE (NATURAL SRL), Planta Santa Cruz, distribución eje troncal, Santa Cruz, Bolivia",Frutas y Verduras Congeladas IQF,Santa Cruz,Santa Cruz
