ID,Nombre,Buscar_en_Google,Rubro,Zona,Ciudad
82,HOTEL OBERLAND – EL ALTO,"HOTEL OBERLAND – EL ALTO, El Alto, El Alto, Bolivia",Hotel con Restaurante,El Alto,El Alto
83,RADISSON HOTEL LA PAZ,"RADISSON HOTEL LA PAZ, Av. Arce N° 2177, Sopocachi, La Paz, Bolivia",Hotel Internacional con Restaurante,Sopocachi,La Paz
84,STANNUM BOUTIQUE HOTEL,"STANNUM BOUTIQUE HOTEL, Rosendo Gutiérrez N° 578, Sopocachi, La Paz, Bolivia",Hotel Boutique con Restaurante,Sopocachi,La Paz
85,HOTEL PLAZA LA PAZ,"HOTEL PLAZA LA PAZ, Av. 16 de Julio (El Prado) N° 1789, El Prado, La Paz, Bolivia",Hotel 5★ con Restaurante,El Prado,La Paz
86,HOTEL LOS DELFINES APART,"HOTEL LOS DELFINES APART, c. 17 esq. Claudio Aliaga, Calacoto, La Paz, Bolivia",Hotel con Restaurante,Calacoto,La Paz
87,HOSPITAL LA PAZ – MUNICIPAL,"HOSPITAL LA PAZ – MUNICIPAL, Zona 14 de Septiembre, frente Plaza Garita de Lima, Garita de Lima, La Paz, Bolivia",Hospital con Cocina,Garita de Lima,La Paz
88,HOSPITAL MUNICIPAL LOS PINOS,"HOSPITAL MUNICIPAL LOS PINOS, Calle 25 de Calacoto s/n, Calacoto, La Paz, Bolivia",Hospital con Cocina,Calacoto,La Paz
89,HOSPITAL MUNICIPAL LA MERCED,"HOSPITAL MUNICIPAL LA MERCED, Calle Villa Aspiazu s/n, Villa Fátima, La Paz, Bolivia",Hospital con Cocina,Villa Fátima,La Paz
90,HOSPITAL MUNICIPAL LA PORTADA,"HOSPITAL MUNICIPAL LA PORTADA, Av. La Florida, La Portada, La Paz, Bolivia",Hospital con Cocina,La Portada,La Paz
91,HOSPITAL MUNICIPAL LA COTAHUMA,"HOSPITAL MUNICIPAL LA COTAHUMA, Av. Jaimes Freire, Tembladerani, La Paz, Bolivia",Hospital con Cocina,Tembladerani,La Paz
